ID,Language_ID,Headword,Part_Of_Speech,Citation_Form,Codiathetic,Dual_NonDual_Pair,Entry_IDs,Etymology,Etymology_Nen,General_Comment,Main_Entry,Meaning_Origin_Word,Media_IDs,Minimal_Pair,Variant_Form
LX000001,nqn,kiemb padr bémis,common noun,,,,,,,,,,,,
LX000002,nqn,bämsär bémis,common noun,,,,,,,,,,,,
LX000003,nqn,séspér,common noun,,,,,,,,,,,,
pkapka,nqn,pkapka,common noun,,,,,,,,,,,,
kitara_pkapka,nqn,kitara pkapka,common noun,,,,,,,,,,,,
pepe,nqn,pepe,common noun,,,,,,,,,,,,
zi_kitarakitara_pkapka,nqn,zi kitarakitara pkapka,common noun,,,,,,,,,,,,
senesene,nqn,senesene,common noun,,,,,,,,,,,,
-abende,nqn,-abende,suffix,,,,,,,,,,,,
-nat,nqn,-nat,kinship noun,,,,,,,,,,,,
a_1,nqn,a,conjunction,,,,,,,,,,,,
a_2,nqn,a,preverbal particle,,,,,,,,,,,,
a_3,nqn,a,particle,,,,,,,,,,,,
LX000004,nqn,ä,preverbal particle,,,,,,,,,,,e,
LX000005,nqn,ä,particle,,,,,,,,,,,,
LX000006,nqn,ä kiemb tngan marete,common noun,,,,,,,,,,,,
aba,nqn,aba,preverbal particle,,,,,,,,,,,,
abaes,nqn,abaes,middle verb (intrinsic),,baes,,,,,,,,,,
LX000007,nqn,äbäms,middle verb (intrinsic),,,,,,,,,,,,
LX000008,nqn,abede bñe,common noun,,,,,,,,,,,,
LX000009,nqn,äbens,middle verb (intrinsic),,,,,,,,,,,,
LX000010,nqn,äbens,reflexive/reciprocal verb,,,,,,,,,,,,äbenes
LX000011,nqn,äbenser,common noun,,,,,,,,,,,,
LX000012,nqn,äbers,middle verb (intrinsic),,bers,,,,,,,,,,
LX000013,nqn,äbersere,adjective,,,,,,,,,,,,
Abog,nqn,Abog,proper noun,,,,,,,,,,,,
LX000014,nqn,abrang̅,middle verb (intrinsic),abrang̅s,LX000328 ; LX000328,,,,,,,,,,
LX000015,nqn,abrang̅,reflexive/reciprocal verb,abrang̅s,,,,,,,,,,,
LX000016,nqn,abrang̅smne,resultative participle,abrang̅smne,,,,,,,,,,,
LX000017,nqn,abrang̅spnär,time adverb,,,,,,,,,,,,
LX000018,nqn,äbrengs,middle verb (intrinsic),,breng_1,,,,,,,,,,
LX000019,nqn,äbrengsere,adjective,,,,,,,,,,,,
LX000020,nqn,äbrete,adjective,,,,,,,,,,,,
LX000021,nqn,äbrete zabzab,common noun,,,,,,,,,,,,
LX000022,nqn,ábrms,middle verb (intrinsic),,,,,,,,,,,,
LX000023,nqn,äbӓts,reflexive/reciprocal verb,,,,,,,,,,,,
adadu,nqn,adadu,common noun,,,,,,,,,,,,
adar,nqn,adar,middle verb (intrinsic),adars,dars_1,,,,,,,,,,
ade,nqn,ade,conjunction,,,,,,,,,,,,
LX000024,nqn,ädomäng̅s,middle verb (intrinsic),,,,,,,,,,,,
LX000025,nqn,ädr,common noun,,,,,,,,,,,,
LX000026,nqn,ädr pandr,common noun,,,,,,,,,,,,
LX000027,nqn,ädr pip,common noun,,,,,,,,,,,,
LX000028,nqn,ädr séqér,common noun,,,,,,,,,,,,
LX000029,nqn,ädrädr awiya,common noun,,,,,,,,,,,,
adwae_1,nqn,adwae,adverb,,,,,,,,,,,,
adwae_2,nqn,adwae,adjective,,,,,,,,,,,,
adwae_busgi,nqn,adwae busgi,common noun,,,,,,,,,,,,
ae_1,nqn,ae,interjection,,,,,,,,,,,,
LX000030,nqn,aebyӓng,middle verb (intrinsic),aebyängs,LX001458,,,,,,,,,,
Aeken,nqn,Aeken,proper noun,,,,,,,,,,,,
aenapro,nqn,aenapro,common noun,,,,,,,,,,,,
aetir,nqn,aetir,common noun,,,,,,,,,,,,aetir ginar
ag,nqn,ag,common noun,,,,,,,,,,,,
ag_dng,nqn,ag dng,common noun,,,,,,,,,,,,
ag_gane,nqn,ag gane,common noun,,,,,,,,,,,,
LX000031,nqn,ag g̅érg̅er,common noun,,,,,,,,,,,,
ag_gkrmb,nqn,ag gkrmb,common noun,,,,,,,,,,,,
ag_kkrmb,nqn,ag kkrmb,common noun,,,,,,,,,,,,
ag_nu,nqn,ag nu,common noun,,,,,,,,,,,,
ag_pars_pap,nqn,ag pars pap,common noun,,,,,,,,,,,,
ag_qar,nqn,ag qar,common noun,,,,,,,,,,,,
ag_qsqs,nqn,ag qsqs,common noun,,,,,,,,,,,,
ag_san_gangl,nqn,ag san gangl,common noun,,,,,,,,,,,,
ag_san_got,nqn,ag san got,common noun,,,,,,,,,,,,
ag_soke,nqn,ag soke,common noun,,,,,,,,,,,,
ag_somasoma,nqn,ag somasoma,common noun,,,,,,,,,,,,
ag_supi,nqn,ag supi,common noun,,,,,,,,,,,,
ag_trar,nqn,ag trar,common noun,,,,,,,,,,,,agar
ag_wao,nqn,ag wao,common noun,,,,,,,,,,,,
LX000032,nqn,ag yéd,common noun,,,,,,,,,,,,
LX000033,nqn,agag (pip),common noun,,,,,,,,,,,,
LX000034,nqn,agag (wén),common noun,,,,,,,,,,,,
agalsge,nqn,agalsge,common noun,,,,,,,,,,,,
LX000035,nqn,agände séqér mangrmangr,common noun,,,,,,,,,,,,
agar,nqn,agar,common noun,,,,,,,,ag_trar,,,,
agaragar,nqn,agaragar,common noun,,,,,,,,,,,,
LX000036,nqn,agaragar sémi,common noun,,,,,,,,,,,,
LX000037,nqn,ägärng̅s,middle verb (intrinsic),,LX001459 ; LX000495 ; LX000493 ; LX000495,,,,,,LX000047,,,,
LX000038,nqn,ágläns,reflexive/reciprocal verb,,,,,,,,,,,,
LX000039,nqn,áglas,middle verb (intrinsic),áglas,,,,,,,,,,,
LX000040,nqn,ägms,reflexive/reciprocal verb,,gme,,,,,,,,,,
LX000041,nqn,ägms,common noun,ägms,,,,,,,,,,,
LX000042,nqn,ägmser är,common noun,,,,,,,,,,,,
LX000043,nqn,agnäns,middle verb (intrinsic),,,,,,,,,,,,
