ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Sense_IDs
XV000001,nqn,"Zimi, pepewem nnetat.",,,"Jimmy, your stomach is rumbling.",,,SN000006
XV000002,nqn,Togetogeabende padar,,,The children's shoulders,,,SN000011
XV000003,nqn,Ynd neretan togetogeabende km.,,,I hear the children's voices.,,,SN000011
XV000004,nqn,ӓrände padar,,,;the man's shoulder,,,
XV000005,nqn,tanat,,,;my tambu-in-law,,,SN000012
XV000006,nqn,benat,,,;your tambu-in-law,,,SN000012
XV000007,nqn,yanat,,,;his tambu-in-law,,,SN000012
XV000008,nqn,tbenat,,,;our tambu-in-law (we're the one clan),,,SN000012
XV000009,nqn,bbenat,,,;your tambu-in-law,,,SN000012
XV000010,nqn,ybenat,,,;their tambu-in-law,,,SN000012
XV000011,nqn,Yna nne wer rokar geym parwae ym.,,,;All kinds of animal are his food. (talking of the psarpsar),,,
XV000012,nqn,sombés a sombés,,,;four,,,SN000013
XV000013,nqn,A nebnda / a te nebnda,,,Now it's finished.,,,SN000014
XV000014,nqn,Bä ym a? Yao.,,,It this the one? No.,,,SN000015
XV000015,nqn,Kores nam!,,,Be careful!,,,
XV000016,nqn,Bm poa nnam!,,,;You come behind (later)!,,,
XV000017,nqn,Blag trioklokan nnam!,,,";Blag, come at 3 o'clock!",,,
XV000018,nqn,Bm kores nam!,,,You be careful!,,,
XV000019,nqn,Poa nnam / naotan!,,,Come / walk later!,,,
XV000020,nqn,Kanam ä ygmm.,,,The two of us will kill the snake.,,,SN000016
XV000021,nqn,Bä Nen Zi ä nerete?,,,Can she understand Nen?,,,SN000016
XV000022,nqn,Ynd ä nngelautan?,,,Can I come in? (said by someone to the house-owner as one stands on the doorway giving notice of coming in),,,SN000016
XV000023,nqn,Ogyabs ä ym! Ogyabs geym niparnda.,,,Time to work! The work is already here for us to do.,,,SN000016
XV000024,nqn,G̅ayag ä ym.,,,"(As we came upon a garden), here's a garden.",,,SN000017
XV000025,nqn,Ynd ämb yégén ä nnang̅tan.,,,I will come back next year. (corrected from equiv. sentence with bä0.,,,SN000018
XV000026,nqn,Ynd aba yptan.,,,I chopped it.,,,SN000020 ; SN003468
XV000027,nqn,Ynd aba neretan togetogeabende km ke.,,,Just a little while ago I heard children's voices.,,,SN000020
XV000028,nqn,Bm dgae aba nngm?,,,Where did you go (just now)?,,,SN000020
XV000029,nqn,Mñtes aba ym.,,,It was delicious (just now).,,,SN000020
XV000030,nqn,Bm kabata bñe.,,,You put patterns on your body.,,,SN000021 ; SN000873
XV000031,nqn,Bä bñe abaest nopapnda wénan.,,,He's beginning to make marks on the tree.,,,SN000021
XV000032,nqn,Bä yanzo pip psan bñebñe abaest nopapnda.,,,He's started to tattoo himself on his body.,,,SN000021
XV000033,nqn,Yna toge nono näbämte.,,,That child is suckling at the breast.,,,SN000023
XV000034,nqn,"Yna toge nono äbämser ym, m nene toge pip ym.",,,"That child is still always suckling at the breast, because he's still a little kid.",,,SN000023
XV000035,nqn,"Mnene tande togande bandan ynd yna ag yiwin, mnegta ynd yna agan ä gäbentawn tande toge ä gäbente yanzo bandan ynd yiwin yna ag.",,,"Because I planted this coconut in my child's land, because I was depending for food on this coconut and my child too, that is why I planted it in my child's land.",,,SN000025
XV000036,nqn,"Siba aqa deneyamis bnbn näbente, baba Sameraba tukangama ägmst.",,,"Siba is also squaring up, clenching his fists, to hit uncle Samera.",,,SN000026
XV000037,nqn,"Kitong anganan kakayam geyb gäbentawm, ämb buderbeba, ymabem tbe kekte kakaya geyb dnabentawt, yndbem sisiyaba kakayam geyb dawabentawm.",,,"For big feasts in the olden days we used to exchange bird of paradise feathers with our relatives; they gave us white feathers, and we used to give them red feathers.",,,SN000027 ; SN001886
XV000038,nqn,Bm ymaba näbenanzt?,,,Who did you exchange with (to get your wife)?,,,SN000027
XV000039,nqn,näbernda,,,"It untied itself, came undone.",,,SN000029
XV000040,nqn,Yosang zipna nngäbernda.,,,"Yosang just left without saying anything, without taking leave.",,,SN000030
XV000041,nqn,Äbersere ym.,,,It's gotten loose.,,,SN000031
XV000042,nqn,Bӓ abrang̅s nopapnd.,,,Those two are about to stop (doing something).,,,SN000033
XV000043,nqn,Ynd yna ogyabsn te nabrang̅ndn.,,,I stopped working.,,,SN000033
XV000044,nqn,Bӓ sombes ogyabs nabrang̅and.,,,They two stopped working.,,,SN000033
XV000045,nqn,Bm mӓmӓ ӓmkpngama kabrang̅!,,,You stop yourself from thinking bad thoughts!,,,SN000033
XV000046,nqn,Bä nabrang̅nda yande buder mlegeipap osns.,,,He stopped visiting his girlfriend.,,,SN000033 ; SN003171
XV000047,nqn,Tende ynd nabrang̅wen.,,,I stopped a long time ago.,,,SN000033
