ID,Description,Entry_ID,Antonym,Encyclopedic_Info,Media_IDs,Near_Synonym,Scientific_Name,Semantic_Domain,Synonym
SN000001,wild mango,LX000001,,,,,,Tree,
SN000002,sucking mango (so-called because you don’t eat all the flesh),LX000002,,,,,,Tree,
SN000003,maggots,LX000003,,,,,,,
SN000004,mixed up pattern (e.g. words in a story),pkapka,,,,,,,
SN000005,platform made by laying out branches in a grid,kitara_pkapka,,,,,,,
SN000006,rumbling stomach,pepe,,,,,,,
SN000007,table (in document),zi_kitarakitara_pkapka,,,,,,,
SN000008,paradigm,zi_kitarakitara_pkapka,,,,,,,
SN000009,"tiny maggots, barely visible, found in rotten meat",senesene,,,,,,,
SN000010,germs,senesene,,,,,,,
SN000011,"their, 's (of plural possessor)",-abende,,,,,,,
SN000012,"in-law: tambu-in-law, father-in-law, son-in-law, mother-in-law, sister-in-law according to context",-nat,,,,,,,
SN000013,and,a_1,,,,,,,
SN000014,"now, already",a_2,,,,,,,
SN000015,clause final particle forming tag question,a_3,,,,,,,
SN000016,preverbal particle giving permission (thus 'may') but also used for suggestions and immediate future actions,LX000004,,,,,,,
SN000017,preverbal particle used when coming upon something new,LX000004,,,,,,,
SN000018,"future particle, appropriate for more situations that are more remote in time or likelihood than would be suggested by bä",LX000005,,,,,,,
SN000019,"name of the letter ä, lit. 'a, with wide pigs ears'",LX000006,,,,,,,
SN000020,"recent past marker, just now",aba,,,,,,,
SN000021,"paint, make marks, tattoo oneself, write",abaes,,,,,,,
SN000022,write,abaes,,,,,,,
SN000023,"suckle, feed at the breast",LX000007,,,,,,,
SN000024,alphabet,LX000008,,,,,,,
SN000025,"feed oneself, nourish oneself, grow food for oneself",LX000009,,,,,,,
SN000026,get ready,LX000009,,,,,,,
SN000027,exchange,LX000010,,,,,,,
SN000028,exchange fellow,LX000011,,,,,,,tampre
SN000029,"get loose, work loose, get untied",LX000012,,,,,,,
SN000030,leave without saying anything,LX000012,,,,,,,
SN000031,"loose, worked loose, gotten loose",LX000013,,,,,,,
SN000032,male personal name,Abog,,"Bearers: Abog, 12th born child of Or Blba",,,,,
SN000033,"desist, stop oneself, stop oneself from doing something",LX000014,,,,,,,
SN000034,divorce (each other),LX000015,,,,,,,
SN000035,divorced person,LX000016,,,,,,,
SN000036,"non-stop, without ceasing",LX000017,,,,,,,LX000436
SN000037,"prepare oneself, get ready",LX000018,,,,,,,
SN000038,"fit, be properly prepared (e.g. when cutting a piece of wood to size)",LX000018,,,,,,,
SN000039,"ready, prepared",LX000019,,,,,,,
SN000040,soft,LX000020,,,,,,,
SN000041,easy,LX000020,,,,,,,
SN000042,weak,LX000020,,,,,,,muyapna
SN000043,type of zabzab,LX000021,,,,,,Plant,
SN000044,jump,LX000022,,,,,,,
SN000045,set off early in the morning without others noticing you are leaving,LX000022,,,,,,,
SN000046,"meet, come together",LX000023,,,,,,,
SN000047,plant species,adadu,,"Big red seed. Cassowaries eat its fruit. Nambu adodo, Idi qeple. There are two types of adadu (both pouteria sp.): zrenzre adadu and adadu pip",fc90ae6cff3a59a8215c9acb12807f53,,Pouteria sp,Plant,
SN000048,"get broken, cracked",adar,,,,,,,
SN000049,"then, so then (given a premise implying contrast)",ade,,,,,,,
SN000050,be cooked,LX000024,,,,,,,
SN000051,"cane, rattan (general term); can also be called more specifically wrng ӓdr",LX000025,,,,,,Plant,LX001671
SN000052,"rope (of bow), bowstring",LX000025,,,,,,Hunt,
SN000053,"lawyer vine, very spiky cane",LX000026,,,,,,"Grass, herb, vine",
SN000054,type of cane,LX000027,,"If you drink the juice of this cane, you will only produce boys. Aramang and Blag are said to have done this.",,,Calamus aruensis,Plant,
SN000055,"""saliva"" or watery seminal fluid which comes out before full ejaculation of semen",LX000028,,,,,,Male organs,
SN000056,"young cassowary, starting to turn black",LX000029,,,,,,Bird,
SN000057,secretly,adwae_1,,,,,,,
SN000058,secret,adwae_2,,,,,,,
SN000059,small stomach that grinds the food,adwae_busgi,,get photo and more detail,,,,Parts of a bird,
SN000060,"yes, I'm here!",ae_1,,,,,,,
SN000061,fly,LX000030,,,,,,,
SN000062,male personal name,Aeken,,,,,,,
SN000063,betelnut (wild variety),aenapro,,Chewed with wérmi and tumeni (lime0.,,,Areca catchecu,Plant ; Stimulant,
SN000064,"type of fan palm, grows in swamps and on river banks",aetir,,,,,Livistona sp.,Tree,
SN000065,ripe coconut,ag,,,,,,Plant,
SN000066,cinnamon ground dove,ag_dng,,= Idi ŋi dəŋg,,,Gallicolumba rufigula,Bird,
SN000067,spotted scat,ag_gane,,,,,,Fish,
SN000068,coconut strainer,LX000031,,,,,,,
SN000069,"coconut rind, young shell",ag_gkrmb,,,,,,Parts of a plant,
SN000070,plug of drinking coconut between the young rind shell and the outer layer. Also found in the black palm and ginar palms.,ag_kkrmb,,,,,,,
SN000071,"coconut juice, coconut water",ag_nu,,,,,,Plant,
SN000072,peel of coconut,ag_pars_pap,,,,,,,
SN000073,coconut shell cup,ag_qar,,,,,,,
SN000074,half-dry coconut,ag_qsqs,,,,,,,
SN000075,"sort of woven ball made from coconut leaf; rolled on ground in a game like hockey, called gangl",ag_san_gangl,,,,,,,
SN000076,"broomsticks, made from coconut fronds",ag_san_got,,,,,,,
SN000077,"new sprouts of coconut, look like a canoe",ag_soke,,,,,,,
SN000078,"coconut baste, can be used as filter or strainer",ag_somasoma,,,,,,Parts of a plant,
SN000079,"coconut starting to fruit, at the point where birds start to suck the juice",ag_somasoma,,,,,,,
SN000080,"stunted coconut, malnourished coconut",ag_supi,,Used as coordinating signal between warriors in head-hunting raids.,,,,,
SN000081,"ocarina-like instrument, made from ag wau 'dried coconut'.",ag_supi,,,,,,,
SN000082,coconut grove,ag_trar,,,,,,,
SN000083,dried coconut,ag_wao,,,,,,,
SN000084,"coconut cream, added to cassava cakes (meaning may be more general)",LX000032,,,,,,,
SN000085,plant species,LX000033,,"Given to boys on initiation; makes them vomit. There are two plants called agag. The terms for them are disambiguated by the addition of a further term: agag pip (true agag) is the palm (orania), while agag wén is the tree (canthium)",,,Orania archboldiana,Plant,
SN000087,plant species,LX000034,,"There are two plants called agag. The terms for them are disambiguated by the addition of a further term: agag pip (true agag) is the palm (orania), while agag wén is the tree (canthium). There is said to be no similarity between the two types of agag.",,,Canthium cf. longiflorum,Plant,
SN000088,"type of bullroarer, used by Seregu clan",agalsge,,,,,,Religion,
SN000089,"resin, similar to mambore, used for candles",LX000035,,,,,,,
SN000090,"coconut plantation, large group of coconut trees",agar,,,,,,Plant ; Growing coconuts,
SN000091,"fern, algae",agaragar,,,,,Desmodium lagopodioides,Plant,
SN000092,plant species,LX000036,,"Called this because its seeds get caught in your clothes when you walk. There's also another agaragar, soft-tissued plant like a cabbage",,,,Plant,
SN000093,"turn over (intransitive), turn oneself over or around",LX000037,,,,,,,
SN000094,"turn around, turn oneself around",LX000037,,,,,,,
SN000095,rub oneself,LX000038,,,,,,,
SN000096,"reproduce: give birth to, germinate",LX000039,,,,,,,
SN000097,be born,LX000039,,,,,,,
SN000098,"fight, fight each other, hit each other",LX000040,,,,,,,
SN000099,"hit oneself, knock oneself",LX000040,,,,,,,
SN000100,kill each other,LX000040,,,,,,,
SN000101,fight,LX000041,,,,,,,
SN000102,"boxer, fighter, warrior",LX000042,,,,,,,
SN000103,"enemy, especially if possessed",LX000042,,,,,,,
SN000104,"dry oneself, wipe oneself dry",LX000043,,,,,,,
SN000105,rub oneself against something,LX000044,,,,,,,
SN000106,wipe oneself (an absolutive NP may be added denoting the thing wiped off),LX000044,,,,,,,
SN000107,"embrace each other (covers various manifestations: kissing, hugging)",LX000045,,,,,,,
SN000108,"copulate, ""pump""",LX000046,,,,,,,
